horizon,mse,rmse,mae,mape,mdape,smape,coverage,dias_no_futuro,data_no_futuro
9 days,32.81897728748926,5.728784974799566,4.10779774751805,0.04720232249332076,0.03465393035961598,0.04712415921353587,0.5269423558897243,9,2024-07-17
10 days,34.43169056467908,5.867852295744933,4.289562710914085,0.04888815025107655,0.03589079454815676,0.04873931102591213,0.5115914786967418,10,2024-07-18
11 days,38.25050480731617,6.184699249544489,4.6223336537605535,0.05274773818556936,0.04004929543835149,0.0524518063225736,0.4658521303258146,11,2024-07-19
12 days,42.322472265852234,6.505572401092177,4.9592244552794,0.05690322174582589,0.044852166645305426,0.05640235304768887,0.4226190476190476,12,2024-07-20
13 days,46.928847148059894,6.850463279812534,5.2149015431125925,0.06029536355095054,0.04574323229757514,0.05986029462581922,0.40476190476190477,13,2024-07-21
14 days,52.834932320152475,7.268764153565066,5.6002416684288345,0.06501021263866757,0.0478565550172753,0.06486071984954944,0.3755952380952381,14,2024-07-22
15 days,56.82015333645445,7.537914389037226,5.895207529946775,0.06881704223076117,0.053903215911086114,0.06881244951358946,0.3398809523809524,15,2024-07-23
16 days,60.44387819582099,7.7745661098109515,6.12253736158418,0.07143013172531798,0.05418897414565836,0.0716678578966266,0.3273809523809524,16,2024-07-24
17 days,64.5551268682405,8.034620517998377,6.376598907925489,0.07399184906567292,0.05830229065791812,0.07444784724922374,0.306390977443609,17,2024-07-25
18 days,66.08608449426153,8.129334812533036,6.541402307210719,0.07620369274867364,0.06036078067490231,0.07648090758945657,0.30287114845938373,18,2024-07-26
19 days,69.72101747649693,8.34991122566563,6.653942939277177,0.07762326369867223,0.06231318327392939,0.07807849762493714,0.3142230576441103,19,2024-07-27
20 days,75.81836775683654,8.707374331957743,6.785002262772443,0.07833648637532627,0.061378150596060686,0.0792556480840753,0.32916666666666666,20,2024-07-28
21 days,80.34951180039039,8.963788919892659,7.005452288107908,0.08038783824092327,0.06366331618044094,0.08165008553066805,0.31265664160401,21,2024-07-29
22 days,82.31191740523523,9.072591548462613,7.2018225488039995,0.08244628115421782,0.06879094807864582,0.08406656675670311,0.28406084656084657,22,2024-07-30
23 days,84.11025031798036,9.171164065590602,7.285701893931626,0.08311301855996556,0.06795967098328527,0.08476887404357096,0.28728070175438597,23,2024-07-31
24 days,89.13785410350461,9.44128455791396,7.553856921515715,0.08601295370881057,0.07278653999557247,0.08762221051348322,0.27215608465608465,24,2024-08-01
25 days,90.41433900361692,9.508645487324518,7.6694637326152675,0.08763723274703564,0.07749735687445566,0.08876767453458101,0.2787698412698413,25,2024-08-02
26 days,89.72690327802758,9.472428583949714,7.684806282089542,0.08814378090407465,0.0797019315340744,0.08901146540414819,0.2824074074074074,26,2024-08-03
27 days,90.73691261601634,9.525592507346529,7.709842589753024,0.08827267108588875,0.07618973330261943,0.08945359143983704,0.28214285714285714,27,2024-08-04
28 days,92.9775138002018,9.642484835362813,7.957017562900776,0.09151965459971254,0.08067155084261274,0.09285079762871035,0.24970238095238098,28,2024-08-05
29 days,93.41593823889664,9.665192095292086,8.177191989803593,0.09495927313008333,0.08581725508549776,0.09629092025034293,0.24154135338345867,29,2024-08-06
30 days,92.78779439712129,9.63264212960916,8.12662455882591,0.09446259421580072,0.08539052512755879,0.09590686749326702,0.2666040100250627,30,2024-08-07
31 days,95.33265095990735,9.763844066755027,8.19488433187223,0.09540262953777244,0.08439278677881529,0.09650941755504434,0.2838345864661654,31,2024-08-08
32 days,96.11461156547912,9.803805973471686,8.270466923361179,0.0966296959636281,0.08439278677881529,0.09740740839428076,0.27843915343915343,32,2024-08-09
33 days,98.12657640818063,9.905885947666702,8.291958843750258,0.0964461832608296,0.08656043168486294,0.09723937445489031,0.2857142857142857,33,2024-08-10
