DATA	PREÇO
01/07/2024	86,57
28/06/2024	87,26
27/06/2024	87,00
26/06/2024	85,76
25/06/2024	86,81
24/06/2024	86,75
21/06/2024	86,42
20/06/2024	85,92
19/06/2024	85,64
18/06/2024	84,79
17/06/2024	82,45
14/06/2024	81,49
13/06/2024	81,44
12/06/2024	80,52
11/06/2024	80,15
10/06/2024	79,59
07/06/2024	78,12
06/06/2024	77,62
05/06/2024	75,41
04/06/2024	75,33
03/06/2024	76,45
31/05/2024	79,41
30/05/2024	81,42
29/05/2024	81,50
28/05/2024	81,34
24/05/2024	78,92
23/05/2024	79,25
22/05/2024	79,90
21/05/2024	81,22
20/05/2024	81,91
17/05/2024	82,24
16/05/2024	81,65
15/05/2024	79,98
14/05/2024	81,00
13/05/2024	83,18
10/05/2024	83,39
09/05/2024	83,27
08/05/2024	82,44
07/05/2024	82,69
03/05/2024	83,60
02/05/2024	84,81
01/05/2024	83,55
30/04/2024	88,23
29/04/2024	88,44
26/04/2024	89,95
25/04/2024	88,10
24/04/2024	89,02
23/04/2024	88,29
22/04/2024	87,30
19/04/2024	87,96
18/04/2024	88,34
17/04/2024	89,54
16/04/2024	91,29
15/04/2024	90,84
12/04/2024	93,12
11/04/2024	91,49
10/04/2024	91,57
09/04/2024	92,13
08/04/2024	91,73
05/04/2024	92,81
04/04/2024	90,32
03/04/2024	90,60
02/04/2024	87,63
28/03/2024	86,17
27/03/2024	84,94
26/03/2024	85,91
25/03/2024	86,18
22/03/2024	84,87
21/03/2024	84,92
20/03/2024	85,77
19/03/2024	87,36
18/03/2024	86,47
15/03/2024	85,39
14/03/2024	86,16
13/03/2024	83,95
12/03/2024	83,66
11/03/2024	83,44
08/03/2024	84,29
07/03/2024	84,88
06/03/2024	86,59
05/03/2024	85,82
04/03/2024	86,58
01/03/2024	84,82
29/02/2024	84,57
28/02/2024	84,08
27/02/2024	83,80
26/02/2024	84,01
23/02/2024	84,18
22/02/2024	85,84
21/02/2024	84,77
20/02/2024	84,78
19/02/2024	85,52
16/02/2024	84,88
15/02/2024	84,33
14/02/2024	84,41
13/02/2024	84,72
12/02/2024	83,88
09/02/2024	83,58
08/02/2024	83,01
07/02/2024	81,18
06/02/2024	80,46
05/02/2024	79,30
02/02/2024	79,54
01/02/2024	82,20
31/01/2024	82,98
30/01/2024	84,14
29/01/2024	83,99
26/01/2024	83,34
25/01/2024	82,33
24/01/2024	82,15
23/01/2024	82,04
22/01/2024	81,70
19/01/2024	80,71
18/01/2024	81,04
17/01/2024	78,88
16/01/2024	80,15
15/01/2024	79,76
12/01/2024	79,89
11/01/2024	80,21
10/01/2024	78,46
09/01/2024	77,97
08/01/2024	75,47
05/01/2024	78,31
04/01/2024	75,79
03/01/2024	77,18
02/01/2024	76,24
